TRIBUNAL,UF,MUNICIPIO,CODIGO,NOME,TIPO,CLASSIFICACAO
TJRO,RO,PIMENTA BUENO,3441,1ª VARA CÍVEL DE PIMENTA BUENO,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,PIMENTA BUENO,3442,VARA CRIMINAL DE PIMENTA BUENO,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,PIMENTA BUENO,3443,JUIZADOS ESPECIAIS DE PIMENTA BUENO,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJRO,RO,JARU,3444,1ª VARA CÍVEL DE JARU,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,JARU,3445,2ª VARA CÍVEL DE JARU,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,JARU,3446,VARA CRIMINAL DE JARU,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,CACOAL,3447,1ª VARA CÍVEL DE CACOAL,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,CACOAL,3448,2ª VARA CÍVEL DE CACOAL,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,CACOAL,3449,3ª VARA CÍVEL DE CACOAL,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,CACOAL,3450,1ª VARA CRIMINAL DE CACOAL,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,CACOAL,3451,2ª VARA CRIMINAL DE CACOAL,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,CACOAL,3452,1 JUIZADO ESPECIAL CÍVEL E CRIMINAL DE CACOAL,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJRO,RO,PIMENTA BUENO,3453,2ª VARA CÍVEL DE PIMENTA BUENO,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,COLORADO DO OESTE,3454,1ª VARA GENÉRICA DE COLORADO,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,COLORADO DO OESTE,3455,2ª VARA GENÉRICA DE COLORADO,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ROLIM DE MOURA,3456,1ª VARA CÍVEL DE ROLIM DE MOURA,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ROLIM DE MOURA,3457,2ª VARA CÍVEL DE ROLIM DE MOURA,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ROLIM DE MOURA,3458,VARA CRIMINAL DE ROLIM DE MOURA,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ROLIM DE MOURA,3459,JUIZADOS ESPECIAIS DE ROLIM DE MOURA,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJRO,RO,CEREJEIRAS,3460,1ª VARA GENÉRICA DE CEREJEIRAS,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,CEREJEIRAS,3461,2ª VARA GENÉRICA DE CEREJEIRAS,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,PRESIDENTE MEDICI,3462,VARA ÚNICA DE PRESIDENTE MÉDICI,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,PORTO VELHO,3463,1ª VARA DE FAMÍLIA DE PORTO VELHO,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,SANTA LUZIA D'OESTE,3464,VARA ÚNICA DE SANTA LUZIA,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,PORTO VELHO,3465,7ª VARA CÍVEL DE PORTO VELHO,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,ALTA FLORESTA D'OESTE,3466,VARA ÚNICA DE ALTA FLORESTA,Unidades judiciárias de primeiro grau,V - Vara
TJRO,RO,PORTO VELHO,3467,2ª VARA DE FAMÍLIA DE PORTO VELHO,Unidades judiciárias de primeiro grau,V - Vara
